funding_amount,num_funding_rounds,industry_sector,location,num_milestones,team_size,years_active,success_probability,success_outcome
24.65,7,SaaS,San Francisco,1,7,0.6,55.9,0
6.42,1,E-commerce,London,12,76,9.5,61.22,1
38.49,2,CleanTech,Singapore,8,137,10.9,67.54,1
46.55,2,E-commerce,London,15,81,10.6,70.83,1
2.58,2,AI/ML,Bangalore,1,155,9.9,63.14,1
4.94,4,Cybersecurity,Berlin,6,213,11.9,65.95,0
20.65,7,EdTech,London,0,65,7.2,61.9,1
13.25,1,CleanTech,San Francisco,12,223,11.6,69.56,1
17.87,6,Cybersecurity,London,15,220,11.4,80.87,1
7.74,5,AI/ML,New York,2,228,4.0,69.43,1
43.79,5,CleanTech,Singapore,5,20,10.4,74.37,1
39.56,5,HealthTech,New York,15,74,9.6,73.99,1
19.41,1,Cybersecurity,Bangalore,0,32,9.4,57.83,1
56.11,6,AI/ML,Boston,17,31,10.8,70.89,0
29.01,2,HealthTech,Seattle,15,15,4.8,60.1,0
7.7,4,FinTech,New York,2,111,5.0,57.15,0
26.28,5,E-commerce,Austin,2,23,7.8,60.77,1
6.97,5,SaaS,Bangalore,12,75,8.9,79.05,0
43.75,3,EdTech,Austin,0,245,10.6,64.05,0
17.29,3,SaaS,London,9,221,10.5,66.87,0
15.11,4,Cybersecurity,Bangalore,1,234,8.7,66.19,1
9.2,1,SaaS,Berlin,9,11,11.5,59.25,1
61.72,6,FinTech,San Francisco,6,165,2.4,63.15,0
15.57,1,EdTech,Boston,12,159,11.4,73.57,1
11.84,4,HealthTech,Boston,15,34,1.1,62.09,1
12.78,5,E-commerce,Austin,8,226,6.8,67.04,1
30.95,1,CleanTech,Austin,11,102,1.4,49.33,1
26.19,7,CleanTech,London,10,244,6.9,71.39,1
27.46,3,E-commerce,Boston,17,30,4.9,64.99,0
27.96,1,CleanTech,Austin,4,163,1.3,50.66,0
154.72,5,SaaS,Seattle,4,34,7.9,54.03,1
12.1,4,E-commerce,Boston,6,237,8.9,75.38,1
10.89,5,FinTech,Austin,13,152,2.3,64.05,0
8.05,6,AI/ML,Seattle,15,20,8.4,72.82,1
33.65,4,AI/ML,Bangalore,5,55,2.4,62.66,1
56.2,6,FinTech,London,1,91,1.9,62.8,1
16.22,3,AI/ML,London,10,5,2.0,57.89,1
7.84,4,E-commerce,Bangalore,10,4,7.3,55.46,0
7.97,2,EdTech,Berlin,6,231,9.4,57.18,1
34.83,5,AI/ML,Austin,3,245,7.3,70.09,0
38.22,2,EdTech,Boston,15,134,9.8,71.64,1
31.29,5,EdTech,Seattle,15,225,7.2,66.64,0
9.34,6,HealthTech,Seattle,13,164,9.6,72.07,1
22.92,7,EdTech,New York,10,8,11.7,77.26,1
20.42,7,CleanTech,New York,4,179,4.9,66.22,1
22.62,1,Cybersecurity,Boston,7,6,2.1,46.27,0
43.44,1,E-commerce,Bangalore,1,204,1.9,44.2,1
22.73,7,AI/ML,Singapore,4,93,7.3,71.2,0
35.83,3,AI/ML,Toronto,8,37,6.7,56.0,1
19.44,1,SaaS,New York,7,66,2.5,50.64,1
24.27,3,SaaS,Seattle,1,171,10.6,67.03,0
34.17,6,AI/ML,London,17,212,11.5,79.79,1
4.23,3,CleanTech,Seattle,4,143,3.3,60.89,1
13.2,1,SaaS,Seattle,9,41,2.7,60.28,1
11.35,6,AI/ML,Boston,8,225,2.8,72.35,1
9.59,2,SaaS,San Francisco,8,198,4.8,65.04,0
13.8,3,EdTech,Toronto,15,103,10.3,65.97,1
81.04,1,EdTech,Bangalore,13,139,7.3,56.72,0
7.65,5,FinTech,San Francisco,15,241,1.1,64.88,1
47.86,4,SaaS,Seattle,6,95,5.8,66.5,1
3.38,7,E-commerce,London,4,8,1.4,58.88,1
13.0,3,E-commerce,Singapore,7,38,5.1,58.72,0
21.39,2,Cybersecurity,Bangalore,10,150,5.0,58.67,1
32.66,2,FinTech,Seattle,6,249,7.9,68.67,0
37.01,2,CleanTech,Singapore,8,185,6.7,66.56,1
40.18,4,CleanTech,Bangalore,2,155,10.5,69.99,1
12.82,1,SaaS,Toronto,10,82,0.5,48.65,1
11.45,3,EdTech,Austin,12,110,9.4,62.04,0
42.86,6,EdTech,Toronto,9,11,0.6,50.87,1
15.01,6,E-commerce,Seattle,15,94,3.9,61.6,0
5.07,5,CleanTech,San Francisco,17,156,10.6,75.21,1
5.85,7,E-commerce,Singapore,16,226,8.4,74.23,1
7.25,6,AI/ML,Toronto,1,230,2.3,54.48,0
29.88,5,E-commerce,Boston,15,205,6.0,64.75,0
20.96,7,FinTech,Seattle,6,7,8.7,71.24,1
36.25,1,AI/ML,Boston,8,203,11.3,65.39,0
11.85,6,FinTech,New York,7,56,7.7,72.38,1
21.3,3,Cybersecurity,Bangalore,5,154,0.6,51.82,0
33.97,6,Cybersecurity,San Francisco,15,236,6.1,70.54,0
13.34,7,AI/ML,London,11,222,2.1,68.93,0
28.7,4,EdTech,San Francisco,17,166,0.9,61.67,0
9.38,1,E-commerce,Berlin,17,76,7.3,53.94,0
12.64,3,E-commerce,Bangalore,7,131,9.4,62.22,0
12.41,3,E-commerce,Berlin,13,176,0.7,55.14,1
5.5,7,AI/ML,Berlin,9,129,9.5,72.2,1
29.58,7,HealthTech,Toronto,8,102,8.6,66.7,0
